,序号,课程号,课程名称,学分,学时,开课学院,修读要求,是否
67,68,A2021070,数字电路与逻辑设计,3.5,56 | 0 | 0 | 0,光电工程学院,必修,否
68,69,A2050680,英语小说阅读,2,16 | 16 | 0 | 0,外国语学院,必修,否
69,70,A2050690,英语演讲与辩论,2,32 | 0 | 0 | 0,外国语学院,必修,否
70,71,A2050750,语言学导论,2,32 | 0 | 0 | 0,外国语学院,必修,否
71,72,A2050460,新闻英语听力,2,16 | 16 | 0 | 0,外国语学院,必修,否
72,73,A2050530,英语表演,1,0 | 16 | 0 | 0,外国语学院,必修,否
73,74,A2050570,英语基础写作2,2,16 | 16 | 0 | 0,外国语学院,必修,否
74,75,A1030070,Excel管理数据分析,2,16 | 16 | 0 | 0,经济管理学院,选修,否
75,76,A2050180,韩语1,3,32 | 0 | 0 | 16,外国语学院,选修,否
76,77,A2050020,《圣经》与文化,2,32 | 0 | 0 | 0,外国语学院,选修,否
77,78,A2050040,德语1,3,32 | 0 | 0 | 16,外国语学院,选修,否
78,79,A2050100,法语1,3,32 | 0 | 0 | 16,外国语学院,选修,否
79,80,A2050360,日语1,3,32 | 0 | 0 | 16,外国语学院,选修,否
80,81,A2050320,跨文化交际,2,32 | 0 | 0 | 0,外国语学院,选修,否
81,82,A2020353,电路分析基础C,3,48 | 0 | 0 | 0,光电工程学院,必修,否
82,83,A2021021,电路与模拟电子技术A,3,48 | 0 | 0 | 0,光电工程学院,必修,否
83,84,A2021200,模拟电子电路实验,1,0 | 16 | 0 | 0,光电工程学院,必修,否
84,85,A2010561,信号与系统D,3,48 | 0 | 0 | 0,通信与信息工程学院,必修,否
85,86,A2020361,电子电路基础C,3,48 | 0 | 0 | 0,光电工程学院,必修,否
86,87,A2080580,软件技术基础,2.5,24 | 16 | 0 | 0,自动化学院,必修,否
87,88,A1110361,大学物理C（下）,4,48 | 16 | 0 | 0,理学院,必修,是
88,89,A2140012,工程技术基础(2)(金工实习),1,0 | 0 | 1.0周 | 0,先进制造工程学院,必修,否
89,90,A2081110,控制系统理论与方法(1)(自动控制原理),6,96 | 0 | 0 | 0,自动化学院,必修,否
90,91,A2021540,自动化技术基础(2)(模电数电),8.5,104 | 32 | 0 | 0,光电工程学院,必修,否
91,92,A2080011,工程技术基础(3)(电装实习),1,0 | 0 | 1.0周 | 0,自动化学院,必修,否
92,93,A2081370,控制系统开发技术(2)(数据结构),2.5,24 | 16 | 0 | 0,自动化学院,选修,否
93,94,A2081180,自动化专题讲座(3),0.5,8 | 0 | 0 | 0,自动化学院,选修,否
94,95,A2060270,运动生理学,3,40 | 8 | 0 | 0,生物信息学院,必修,否
95,96,A200001D,认识实习,1,0 | 0 | 1.0周 | 0,体育学院,必修,否
96,97,A2090280,体育测量与评价,2,32 | 0 | 0 | 0,体育学院,必修,否
97,98,A2090340,体育竞赛组织与管理,2,32 | 0 | 0 | 0,体育学院,必修,否
98,99,A2090560,游泳与救生2,1,16 | 0 | 0 | 0,体育学院,必修,否
99,100,A2090470,武术,3,48 | 0 | 0 | 0,体育学院,选修,否
100,101,A2090430,网球,3,48 | 0 | 0 | 0,体育学院,选修,否
101,102,A2090020,健美操,3,48 | 0 | 0 | 0,体育学院,选修,否
102,103,A2090100,篮球,3,48 | 0 | 0 | 0,体育学院,选修,否
103,104,A2110710,电磁学,3,48 | 0 | 0 | 0,理学院,必修,是
104,105,A2110740,光学,2,32 | 0 | 0 | 0,理学院,必修,是
105,106,A2110750,基础物理实验,2,0 | 32 | 0 | 0,理学院,必修,否
106,107,A2110520,数学物理方法（物理类）,5,80 | 0 | 0 | 0,理学院,必修,是
107,108,A2110291,理论力学B,2,32 | 0 | 0 | 0,理学院,必修,是
108,109,A2021021,电路与模拟电子技术A,3,48 | 0 | 0 | 0,光电工程学院,选修,否
109,110,A2021200,模拟电子电路实验,1,0 | 16 | 0 | 0,光电工程学院,选修,否
110,111,A2121200,影视作品分析3,1.5,24 | 0 | 0 | 0,传媒艺术学院,必修,否
111,112,A2121430,摄像技术2,2,16 | 16 | 0 | 0,传媒艺术学院,必修,否
112,113,A2121080,影视编辑技艺A,6,32 | 64 | 0 | 0,传媒艺术学院,必修,否
113,114,A2121081,影视编辑技艺B,4,24 | 40 | 0 | 0,传媒艺术学院,必修,否
114,115,A2130370,课程设计(面向对象程序设计）,1,0 | 0 | 1.0周 | 0,软件工程学院,必修,否
115,116,A200001E,认识实习,1,0 | 0 | 1.0周 | 0,软件工程学院,必修,否
116,117,A2130200,数据与算法基础 (1) (数据结构),4,48 | 16 | 0 | 0,软件工程学院,必修,否
117,118,A2130210,数据与算法基础 (2) (数据库),3,32 | 16 | 0 | 0,软件工程学院,必修,否
118,119,A2130620,软件需求工程,2,32 | 0 | 0 | 0,软件工程学院,必修,否
119,120,A2130590,软件测试与维护,2,32 | 0 | 0 | 0,软件工程学院,必修,否
120,121,A2050990,英语视听说3,2,32 | 0 | 0 | 0,外国语学院,必修,否
121,122,A2051030,英语写作2,1,16 | 0 | 0 | 0,外国语学院,必修,否
122,123,A2051040,英语语音与朗诵,2,32 | 0 | 0 | 0,外国语学院,选修,否
123,124,A1110130,随机数学（含概率论、数理统计、随机过程）,3.5,56 | 0 | 0 | 0,理学院,选修,是
124,125,A1110140,概率论与数理统计,3,48 | 0 | 0 | 0,理学院,选修,是
125,126,A2051110,综合英语3,2,32 | 0 | 0 | 0,外国语学院,选修,否
126,127,A2050870,日语精读3,3,48 | 0 | 0 | 0,外国语学院,必修,否
127,128,A2050910,日语视听说3,2,32 | 0 | 0 | 0,外国语学院,选修,否
128,129,A2020810,电子技术实验B,1.5,0 | 24 | 0 | 0,光电工程学院,必修,否
129,130,A2021110,电工学下,4,64 | 0 | 0 | 0,光电工程学院,必修,否
130,131,A2140190,理论力学,3.5,56 | 0 | 0 | 0,先进制造工程学院,必修,否
131,132,A1040080,数据结构,3,32 | 16 | 0 | 0,计算机科学与技术学院,必修,否
132,133,A2150080,英语视听说 3,1,16 | 0 | 0 | 0,国际学院,必修,否
133,134,A2051110,综合英语3,2,32 | 0 | 0 | 0,外国语学院,必修,否
134,135,A2150020,西方社会与文化,2,32 | 0 | 0 | 0,国际学院,选修,否
135,136,A2051070,英语中级新闻听力1,2,32 | 0 | 0 | 0,外国语学院,选修,否
136,137,A2021300,电路理论及应用I(美方授课),3,48 | 0 | 0 | 0,光电工程学院,必修,否
137,138,A2021310,电路理论及应用实验I(美方授课),1,0 | 16 | 0 | 0,光电工程学院,必修,否
138,139,A2011220,微处理器(美方授课),4,32 | 32 | 0 | 0,通信与信息工程学院,必修,否
139,140,A2150010,批判性思维,2,32 | 0 | 0 | 0,国际学院,选修,否
140,141,A2020940,微电子学科基础,4,64 | 0 | 0 | 0,光电工程学院,必修,否
141,142,A2020360,电子电路基础A,3.5,56 | 0 | 0 | 0,光电工程学院,必修,否
142,143,A2020580,固体物理(双语),2.5,40 | 0 | 0 | 0,光电工程学院,选修,否
143,144,A2021001,固体物理,2.5,40 | 0 | 0 | 0,光电工程学院,选修,否
